,,Complete list here,,,,,,,,,,X,X,X,X,X,X,X,,X,X,X,,X,X,X,X,X,X,X,,X,,,,,,X (https://www.classic-computers.org.nz/system-80/software-manuals/manuals-Level-1-Users-Manual.pdf),X,X (http://www.trs-80.org/trsdos-model1-basic/),,https://colorcomputerarchive.com/repo/Documents/Books/TRS-80%20Color%20Basic%20(Bob%20Albrecht).pdf,,https://www.cocopedia.com/wiki/index.php/BASIC:Color_BASIC,https://www.cocopedia.com/wiki/index.php/BASIC:Color_BASIC,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,,
,,,Dartmouth,,,,,,,,,ANSI,,hptsb,decbasic,Altair,,,tiny,a2int,Applesoft,,,TI994,,CBM,,,,,,Atari,,,msatari,MBASIC,CBASIC,trs80,,,,trscolor,,,,,BASIC09,Sinclair,,,Atom,BBC,Locomotive,TrueBASIC,GWBASIC,MSX,,,,,bwbasic,,msmac,ABasiC,msamiga,STBasic,msqb,,,,,VBDOS,VB,VBNET,liberty,FreeBASIC,Gambas,ugBASIC,minibasicmm,minibasicjs
,,Version,dartmouth1,dartmouth2,dartmouth3,dartmouth4,dartmouth5,dartmouth6,dartmouth7,dartmouth8,sbasic,ansimin,ansifull,,,,altair8K,altair12K,,,,tasc,mpf2,,ti994ext,,cbmv4,cbmv7,cbmv3.5,Simons1,Simons2,,ataplus,atxl,,,,,level2,trsdisk,level3,,colormc,colorext,colordisk,colorenh,,,zx80,spectrum,,,,,,,msxdisk,msx2,msx3,msx4,,bw32,,,,,,4.5,QBasic,PDS,QB64PE,,,,,,,,,
,,Keyword count,15,6,8,42,15,9,3,3,3,36,201,87,115,31,31,21,0,54,112,17,0,72,37,72,17,102,49,111,0,81,0,81,101,0,0,33,88,29,32,69,55,37,25,28,0,59,32,89,0,0,0,0,165,139,23,0,0,0,132,304,0,166,6,0,0,1,0,0,0,0,0,0,0,405,307,173,38,80
,ASNG(),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
,ASR(),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
,ASSERT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,
,ASSERTWARN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
,ASSIGN,2,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AT,6,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,X,,,X,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AT$,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
,ATAN(),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,X,
,ATAN2(),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,
,ATANH(),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
,ATN(),23,,,,X,,,,,,X,X,X,X,,X,,,,X,,,X,,X,,,,,,X,,X,X,,,,X,,,,,X,,,,X,,X,,,,,X,X,,,,,X,X,,X,,,,,,,,,,,,X,,,,X
,ATND(),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
,ATNG(),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
,ATTR(),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AUDIO,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(pass sound output from cassette to TV),,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
,AUTO,10,,,,,,,,,,,,,,,,,,X,,,,,,,,X,X,X,,,,,X,,,,X,,,,,,,,,,,,,,,,X,X,,,,,,X,,X,,,,,,,,,,,,,,,,
,BACKUP,4,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BANK,2,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(creates with types CODE, VARIABLES, TEMPORARY or DATA; subcommands  ADDRESS, READ, SIZE, UNCOMPRESS and WRITE)",,
,BAR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
,BASE,5,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(statement for video processor address tables),,,,,,X,,,,,,,,,,,,,,X*,,,,
,BASE64$(),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
,BCHG(),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
,BCKGNDS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BCLR(),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
,BEEP,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X*,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,,,,
,BEGIN,3,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(only as BEGIN GAMELOOP; kind of an event loop, in 3 machines only)",,
,BEGINS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
,BELL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
,BEND,1,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BFLASH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BIN(),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X*,,,,,,,,,,,,,,,,,,,,,,,,,,X,,(returns a string),,
,BIN$(),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,
,BINARY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
,BIT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,(as operator BIT n OF v; returns the bit n status of value in v),,
,BITMAP,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(also with  subcommands AT, CLEAR, DISABLE, ENABLE)",,
,BITRESET,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
,BITSET,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
,BLACK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
,BLOAD,6,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,(binary programs only),,,,,,,,X,,,,,,,,,,,,X,,,,
